Suburb,Rooms,Type,Price,Method,SellerG,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount
Airport West,3,t,825000,SP,Barry,13.5,3,2,1,293,102,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,685000,S,Barry,13.5,3,1,1,579,113,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,445000,S,Brad,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,805000,S,Barry,13.5,3,1,1,623,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,510000,S,Nelson,13.5,2,1,1,141,76,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,612000,S,Nelson,13.5,3,2,1,212,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,662000,S,Brad,13.5,3,1,2,612,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,978000,S,Nelson,13.5,4,3,2,532,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,,VB,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,720000,PI,Nelson,13.5,3,1,1,585,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,474000,PI,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,490000,SP,Frank,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,405000,S,Ray,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,715000,S,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,671500,S,McDonald,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,765000,S,Prof.,13.5,4,1,2,509,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,900000,S,Harcourts,13.5,4,2,3,628,146,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,820000,S,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,650000,PI,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,552000,SP,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Albert Park,2,h,1275000,S,hockingstuart,3.3,2,1,0,120,82,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1455000,S,Thomson,3.3,2,1,0,159,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2850000,PI,Buxton,3.3,3,2,0,211,198,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1850000,S,Greg,3.3,3,2,0,128,133,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,,SP,Marshall,3.3,2,1,0,215,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1436000,S,RT,3.3,2,1,0,130,81,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,SN,Greg,3.3,2,2,1,336,145,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1110000,S,Marshall,3.3,1,1,0,147,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1550000,S,Sotheby's,3.3,2,1,1,167,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,2300000,S,Marshall,3.3,4,2,1,153,180,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,S,Marshall,3.3,3,1,2,316,125,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,t,1550000,VB,Marshall,3.3,3,2,2,718,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1800000,VB,Greg,3.3,3,2,1,132,159,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2485000,S,Cayzer,3.3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,2120000,S,Greg,3.3,2,1,1,199,107,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1800000,VB,Cayzer,3.3,3,1,1,253,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1800000,S,Marshall,3.3,3,2,1,90,122,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,SN,Marshall,3.3,3,1,0,126,88,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1810000,PI,Greg,3.3,2,1,0,240,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2615000,S,Cayzer,3.3,3,2,1,177,181,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,5,h,2100000,S,Greg,3.3,5,2,1,237,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1300000,S,hockingstuart,3.3,3,1,0,129,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1370000,S,Greg,3.3,3,2,2,0,85,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1000000,S,Cayzer,3.3,2,1,0,288,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,,SP,Marshall,3.3,2,1,2,366,117,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2575000,S,Greg,3.3,3,2,1,228,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1322500,S,Greg,3.3,2,1,0,149,98,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,,S,hockingstuart,3.3,2,1,1,152,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1562500,S,Greg,3.3,2,1,0,141,83,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2000000,VB,RT,3.3,3,2,1,211,147,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,,S,Marshall,3.3,3,1,0,236,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,S,Marshall,3.3,3,1,2,300,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1900000,S,Greg,3.3,3,1,0,209,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,3010000,S,Greg,3.3,3,2,0,147,146,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,SP,Marshall,3.3,3,1,0,173,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,2800000,VB,Cayzer,3.3,4,3,1,327,254,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,SN,Cayzer,3.3,3,1,0,169,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,u,647000,S,Greg,3.3,2,1,1,0,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,SP,Marshall,3.3,3,2,1,122,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2100000,SP,Marshall,3.3,2,1,1,120,123,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,S,Greg,3.3,3,2,1,241,119,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,,PI,Marshall,3.3,2,2,1,225,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,7,h,,SN,hockingstuart,3.3,7,7,0,435,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2000000,PI,Marshall,3.3,3,1,1,238,131,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,1,u,442500,S,Marshall,3.3,1,1,0,0,34,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,4735000,S,Marshall,3.3,4,2,1,330,207,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1340000,S,Greg,3.3,2,1,0,136,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1801000,S,hockingstuart,3.3,3,1,1,202,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1532000,S,Chisholm,3.3,3,3,1,0,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,3755000,S,Greg,3.3,3,2,2,325,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,2140000,S,Greg,3.3,3,2,1,183,145,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,u,1810000,PI,Marshall,3.3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,1750000,S,Marshall,3.3,2,1,1,162,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,980000,S,Greg,3.3,2,1,0,79,68,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2,h,,SP,Marshall,3.3,2,1,0,99,65,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4,h,,SP,Marshall,3.3,4,2,0,230,185,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,,SN,Greg,3.3,3,2,1,141,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2030000,S,hockingstuart,3.3,3,2,0,152,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,1740000,PI,Marshall,3.3,3,2,2,147,134,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3,h,2800000,VB,Buxton,3.3,3,3,1,0,,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,1,h,985000,S,Marshall,3.3,1,1,0,81,54,Port Phillip City Council,Southern Metropolitan,3280
Alphington,3,h,,SN,McGrath,6.4,3,2,1,174,122,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,2000000,S,Brace,6.4,3,2,4,853,263,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1110000,S,Jellis,6.4,3,2,2,208,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1492000,S,Jellis,6.4,3,2,2,411,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,480000,PI,Miles,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,,S,Jellis,6.4,3,1,3,922,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,t,1304000,SP,Holland,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1717500,S,Collins,6.4,4,2,1,599,203,Darebin City Council,Northern Metropolitan,2211
Alphington,5,h,2840000,S,Nelson,6.4,5,4,4,809,165,Darebin City Council,Northern Metropolitan,2211
Alphington,5,h,,S,Collins,6.4,5,3,4,743,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,525500,S,Miles,6.4,2,1,1,88,60,Darebin City Council,Northern Metropolitan,2211
Alphington,2,t,805000,S,Miles,6.4,2,2,3,155,140,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,465000,S,McGrath,6.4,2,1,1,0,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,t,,PN,Nelson,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1480000,S,Nelson,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,2000000,PI,hockingstuart,6.4,3,3,2,686,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1540000,S,Nelson,6.4,3,1,2,592,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,,S,Jellis,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,590000,PI,Nelson,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,820000,S,Nelson,6.4,2,1,1,183,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1830000,S,Nelson,6.4,4,2,2,606,112,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,2100000,S,Nelson,6.4,4,2,2,575,271,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,865000,SP,hockingstuart,6.4,3,1,1,180,131,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,390000,VB,Nelson,6.4,2,1,1,0,60,Darebin City Council,Northern Metropolitan,2211
Alphington,2,t,650000,SP,Brace,6.4,0,1,0,0,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,512000,S,Love,6.4,2,1,1,0,61,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1361000,S,Collins,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,,SP,Jellis,6.4,4,2,2,597,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1310000,S,Jellis,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,570000,VB,Thomas,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1165000,S,Barry,6.4,3,1,2,979,,Darebin City Council,Northern Metropolitan,2211
Alphington,2,u,530000,S,Jellis,6.4,,,,,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1900000,SP,McGrath,6.4,4,2,2,556,272,Darebin City Council,Northern Metropolitan,2211
Alphington,5,h,,SN,Nelson,6.4,5,2,2,552,211,Darebin City Council,Northern Metropolitan,2211
Alphington,3,h,1485000,SP,McGrath,6.4,3,0,0,597,,Darebin City Council,Northern Metropolitan,2211
Alphington,4,h,1950000,S,Jellis,6.4,4,2,3,589,210,Darebin City Council,Northern Metropolitan,2211
Altona,3,h,520000,VB,Greg,13.8,3,2,1,352,242,Hobsons Bay City Council,Western Metropolitan,5301
Altona,5,h,1525000,S,Greg,13.8,5,3,3,729,268,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,t,720000,S,hockingstuart,13.8,2,1,2,292,125,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,1120000,S,Barlow,13.8,3,1,2,506,120,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,780000,PI,Sweeney,13.8,4,1,4,655,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,1780000,SP,Greg,13.8,4,3,6,1057,220,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,630000,S,Barlow,13.8,2,1,2,311,94,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,406000,SP,hockingstuart,13.8,2,1,1,65,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,660000,VB,Greg,13.8,3,1,1,602,123,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,683500,S,Greg,13.8,3,1,1,530,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,540000,VB,hockingstuart,13.8,,,,,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,580000,S,Barlow,13.8,2,1,1,225,93,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,h,1335000,S,hockingstuart,13.8,3,1,4,777,22,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,800000,SP,hockingstuart,13.8,3,2,2,280,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,510000,S,Village,13.8,2,1,1,127,76,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,1070000,S,Barlow,13.8,4,2,2,695,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,425000,S,hockingstuart,13.8,2,1,2,115,57,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,u,605000,S,Jas,13.8,3,2,2,230,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,3,t,705000,S,hockingstuart,13.8,3,2,2,197,152,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,391000,SP,Greg,13.8,2,1,1,0,65,Hobsons Bay City Council,Western Metropolitan,5301
Altona,2,u,440000,SP,hockingstuart,13.8,2,1,1,0,,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4,h,845000,S,hockingstuart,13.8,4,1,2,745,130,Hobsons Bay City Council,Western Metropolitan,5301
